name,lat,lon,pop
Victor Raul,-8.40469,-78.82276,8369
Horacio Zeballos Gamez,-16.49181,-71.50731,8365
Huanchaquito Alto,-8.08791,-79.09746,7282
Selva Alegre,-16.37057,-71.52724,72696
Santiago,-13.52728,-71.9843,64075
Tabaloslos,-6.38559,-76.63342,7282
Fonavi,-14.03282,-75.73697,6654
San Jose De Sisa,-6.61375,-76.69309,6546
Paragsha- San Andres - Jose Carlos Mariategui,-10.67147,-76.27098,6316
Nuevo  Sullana,-4.92108,-80.72695,5484
Alto Salaverry,-8.1865,-78.98639,5014
Huepetuhe,-12.99475,-70.52508,4056
Paliannunas,-12.04038,-75.19134,4049
Huamancaca Chico,-12.07993,-75.24523,4019
Mazuko,-13.10012,-70.36736,3586
San Alejandro,-8.82936,-75.21326,3594
Cerro Verde,-16.45026,-71.61552,3602
Limoncarro,-7.3011,-79.4168,3758
Brena,-12.05605,-77.05295,81909
Puerto Rosario de Laberinto,-12.71732,-69.58694,3660
Castillo Grande,-9.27807,-76.00871,12438
