site_name,source,source_url,latitude,longitude,source_file,site_type
square 985m,archaeogeodesy.org,,-9.128051,-67.213454,archaeogeodesy_peru.csv,
"square, inner 477m",archaeogeodesy.org,,-9.734415,-67.704739,archaeogeodesy_peru.csv,
"square, outer 638m",archaeogeodesy.org,,-9.734506,-67.704785,archaeogeodesy_peru.csv,
Squier - Fochic An,osm,https://www.openstreetmap.org/way/630946947,-8.097157,-79.071614,osm_archeological_sites.geojson,
sramz,archaeogeodesy.org,,-13.302647,-64.535352,archaeogeodesy_peru.csv,
sritz,archaeogeodesy.org,,-11.985091,-67.357812,archaeogeodesy_peru.csv,
sroc1,archaeogeodesy.org,,-10.587891,-67.591190,archaeogeodesy_peru.csv,
sroc2,archaeogeodesy.org,,-10.586969,-67.589766,archaeogeodesy_peru.csv,
sroc3,archaeogeodesy.org,,-10.620065,-67.571114,archaeogeodesy_peru.csv,
sroc4,archaeogeodesy.org,,-10.620904,-67.572148,archaeogeodesy_peru.csv,
srosc,archaeogeodesy.org,,-10.622264,-67.580516,archaeogeodesy_peru.csv,
srosg,archaeogeodesy.org,,-10.628758,-67.440880,archaeogeodesy_peru.csv,
srosq,archaeogeodesy.org,,-10.625108,-67.581158,archaeogeodesy_peru.csv,
srosz,archaeogeodesy.org,,-15.052531,-64.123985,archaeogeodesy_peru.csv,
ssmar,archaeogeodesy.org,,-28.607491,-48.819598,archaeogeodesy_peru.csv,
Suchiman,osm,https://www.openstreetmap.org/way/1371015418,-8.721095,-78.413043,osm_archeological_sites.geojson,
Suchiman,osm,https://www.openstreetmap.org/way/1371015419,-8.713449,-78.399822,osm_archeological_sites.geojson,
Suchiman,osm,https://www.openstreetmap.org/way/1371015420,-8.716291,-78.404704,osm_archeological_sites.geojson,
Sukankas,osm,https://www.openstreetmap.org/way/982241289,-13.290017,-72.095039,osm_archeological_sites.geojson,
sumbc,archaeogeodesy.org,,-15.975840,-71.349290,archaeogeodesy_peru.csv,
Sundial,osm,https://www.openstreetmap.org/way/366898646,-14.524147,-75.192422,osm_archeological_sites.geojson,
Suntur,wikidata,http://www.wikidata.org/entity/Q12070303,-13.606301,-73.268884,wikidata_archeological_sites.geojson,
suqan,archaeogeodesy.org,,-13.511871,-71.950511,archaeogeodesy_peru.csv,
surus,archaeogeodesy.org,,-14.628295,-70.109933,archaeogeodesy_peru.csv,
susup,archaeogeodesy.org,,-9.401484,-76.692874,archaeogeodesy_peru.csv,
Susupillo,osm,https://www.openstreetmap.org/node/1728416713,-9.401405,-76.692951,osm_archeological_sites.geojson,
Susupillo,Wikipedia,https://en.wikipedia.org/wiki/Susupillo,-9.400000,-76.684440,wikipedia_peru_archaeological_sites.csv,
swmop,archaeogeodesy.org,,-15.538781,-65.687394,archaeogeodesy_peru.csv,
swmp2,archaeogeodesy.org,,-15.633330,-65.576185,archaeogeodesy_peru.csv,
swmp3,archaeogeodesy.org,,-15.683103,-65.672391,archaeogeodesy_peru.csv,
swmp4,archaeogeodesy.org,,-15.688683,-65.674884,archaeogeodesy_peru.csv,
Symbols,osm,https://www.openstreetmap.org/way/510577700,-14.641557,-75.097273,osm_archeological_sites.geojson,
Sítio Arqueológico Chavín de Huántar,osm,https://www.openstreetmap.org/way/951794202,-9.593172,-77.177580,osm_archeological_sites.geojson,
Sóndor,osm,https://www.openstreetmap.org/way/236481490,-13.606072,-73.270279,osm_archeological_sites.geojson,
Sóndor,Wikipedia,https://en.wikipedia.org/wiki/S%C3%B3ndor,-13.606300,-73.268900,wikipedia_peru_archaeological_sites.csv,
T'akaq,Wikipedia,https://en.wikipedia.org/wiki/T%27akaq,-9.827780,-76.615280,wikipedia_peru_archaeological_sites.csv,
table,archaeogeodesy.org,,0.365534,-78.083122,archaeogeodesy_peru.csv,
tabln,archaeogeodesy.org,,0.366401,-78.083728,archaeogeodesy_peru.csv,
tablo,archaeogeodesy.org,,0.365642,-78.083939,archaeogeodesy_peru.csv,
tabls,archaeogeodesy.org,,0.363142,-78.083568,archaeogeodesy_peru.csv,
tacaj,archaeogeodesy.org,,-9.850335,-76.615025,archaeogeodesy_peru.csv,
Taco,osm,https://www.openstreetmap.org/node/1728416716,-6.888611,-79.842778,osm_archeological_sites.geojson,
tacta,archaeogeodesy.org,,-9.232604,-76.795318,archaeogeodesy_peru.csv,
tacua,archaeogeodesy.org,,-14.748597,-64.424011,archaeogeodesy_peru.csv,
Tahuasayhua,osm,https://www.openstreetmap.org/node/1728416731,-13.251944,-72.220278,osm_archeological_sites.geojson,
tahue,archaeogeodesy.org,,-11.229391,-68.346348,archaeogeodesy_peru.csv,
tahug,archaeogeodesy.org,,-11.227792,-68.528371,archaeogeodesy_peru.csv,
tahuo,archaeogeodesy.org,,-11.882684,-69.025306,archaeogeodesy_peru.csv,
Tajopampa,osm,https://www.openstreetmap.org/way/589101639,-6.824173,-77.809379,osm_archeological_sites.geojson,pampa
takcp,archaeogeodesy.org,,-9.455583,-78.250034,archaeogeodesy_peru.csv,
Talle,osm,https://www.openstreetmap.org/node/1728416734,-8.045168,-78.452457,osm_archeological_sites.geojson,
tamag,archaeogeodesy.org,,-20.626443,-69.636212,archaeogeodesy_peru.csv,
tambe,archaeogeodesy.org,,-12.552751,-69.146574,archaeogeodesy_peru.csv,
tambh,archaeogeodesy.org,,-13.476400,-71.968127,archaeogeodesy_peru.csv,
tambi,archaeogeodesy.org,,-29.148229,-67.509756,archaeogeodesy_peru.csv,
tambo,archaeogeodesy.org,,-13.479118,-71.967550,archaeogeodesy_peru.csv,tambo
Tambo,osm,https://www.openstreetmap.org/node/12088152941,-16.428426,-71.755880,osm_archeological_sites.geojson,tambo
Tambo Colorado,Wikipedia,https://en.wikipedia.org/wiki/Tambo_Colorado,-13.451000,-75.855000,00_master_corrected.csv,tambo
Tambo Colorado,Wikipedia,https://en.wikipedia.org/wiki/Tambo_Colorado,-13.470000,-75.890000,ES EOGatewaysatelliteAR_Sentinel-2 imageryTheMinistryofCulturesfullSIGDA.csv,tambo
Tambo Colorado,osm,https://www.openstreetmap.org/node/1728416736,-13.706111,-75.828889,osm_archeological_sites.geojson,tambo
Tambo Colorado,wikidata,http://www.wikidata.org/entity/Q1513848,-13.705278,-75.829167,wikidata_archeological_sites.geojson,tambo
Tambo Colorado,Wikipedia,,-14.798500,-73.924400,sites_wikipedia.geojson,tambo
Tambo de Inca Ruedanan,osm,https://www.openstreetmap.org/way/1241492071,-9.117294,-77.207481,osm_archeological_sites.geojson,tambo
Tambo de Maraycalla,osm,https://www.openstreetmap.org/way/260284082,-9.078711,-77.239914,osm_archeological_sites.geojson,tambo
Tambo de Mora,osm,https://www.openstreetmap.org/way/156687574,-13.457042,-76.176865,osm_archeological_sites.geojson,tambo
Tambo Inca de Pariachuco,osm,https://www.openstreetmap.org/way/260280518,-8.377512,-77.786905,osm_archeological_sites.geojson,tambo
Tambo Inga,wikidata,http://www.wikidata.org/entity/Q51881744,-11.889461,-77.071100,wikidata_archeological_sites.geojson,tambo
Tambo Inga - Quebrada Golondrina,osm,https://www.openstreetmap.org/way/672785617,-12.157419,-76.830387,osm_archeological_sites.geojson,tambo
Tambo Linga,osm,https://www.openstreetmap.org/node/13507028724,-16.680663,-71.658399,osm_archeological_sites.geojson,tambo
Tambo o Paredones,osm,https://www.openstreetmap.org/node/5650148140,-7.672144,-77.483869,osm_archeological_sites.geojson,tambo
Tambo Viejo,wikidata,http://www.wikidata.org/entity/Q98716503,-15.448541,-74.616326,wikidata_archeological_sites.geojson,tambo
Tambo Viejo (Cañete),Ministerio de Cultura Peru,https://cultura.gob.pe,-13.190000,-76.380000,ES EOGatewaysatelliteAR_Sentinel-2 imageryTheMinistryofCulturesfullSIGDA.csv,tambo
Tambomachay,wikidata,http://www.wikidata.org/entity/Q1360456,-13.480833,-71.964722,wikidata_archeological_sites.geojson,tambo
tamep,archaeogeodesy.org,,-20.964486,-69.173489,archaeogeodesy_peru.csv,
Tampu Mach'ay,osm,https://www.openstreetmap.org/way/83145489,-13.478814,-71.967227,osm_archeological_sites.geojson,
tankc,archaeogeodesy.org,,-16.588700,-69.254623,archaeogeodesy_peru.csv,
tankp,archaeogeodesy.org,,-16.585177,-69.250969,archaeogeodesy_peru.csv,
Tanqa Tanqa,wikidata,http://www.wikidata.org/entity/Q15950011,-16.586667,-69.253333,wikidata_archeological_sites.geojson,
tanta,archaeogeodesy.org,,-7.281411,-78.968735,archaeogeodesy_peru.csv,
Tantamayo,Wikipedia,,-9.750000,-76.616700,sites_wikipedia.geojson,
Tantarica,osm,https://www.openstreetmap.org/node/11417802926,-7.283285,-78.968265,osm_archeological_sites.geojson,
Tantarica,wikidata,http://www.wikidata.org/entity/Q6138729,-7.275000,-78.966667,wikidata_archeological_sites.geojson,
tanto,archaeogeodesy.org,,-9.401805,-76.681708,archaeogeodesy_peru.csv,
tantp,archaeogeodesy.org,,-7.283224,-78.968265,archaeogeodesy_peru.csv,
tapaz,archaeogeodesy.org,,-9.863083,-57.674479,archaeogeodesy_peru.csv,
Taptash,osm,https://www.openstreetmap.org/node/1728416742,-9.852500,-76.810278,osm_archeological_sites.geojson,
taqra,archaeogeodesy.org,,-14.968903,-71.606636,archaeogeodesy_peru.csv,
Taqrachullu,wikidata,http://www.wikidata.org/entity/Q15950018,-14.968100,-71.606400,wikidata_archeological_sites.geojson,
taqui,archaeogeodesy.org,,-15.757773,-69.689526,archaeogeodesy_peru.csv,
tarab,archaeogeodesy.org,,-19.875513,-69.470716,archaeogeodesy_peru.csv,
tarac,archaeogeodesy.org,,-16.318688,-68.686967,archaeogeodesy_peru.csv,
tarag,archaeogeodesy.org,,-19.908640,-69.505328,archaeogeodesy_peru.csv,
tarah,archaeogeodesy.org,,-13.469072,-72.436086,archaeogeodesy_peru.csv,
Tarahuasi,wikidata,http://www.wikidata.org/entity/Q4451905,-13.469089,-72.436271,wikidata_archeological_sites.geojson,
tarap,archaeogeodesy.org,,-9.213708,-76.726320,archaeogeodesy_peru.csv,
Tarapata,osm,https://www.openstreetmap.org/node/1670353792,-13.223598,-72.446493,osm_archeological_sites.geojson,
tarar,archaeogeodesy.org,,-19.896622,-69.472466,archaeogeodesy_peru.csv,
tarat,archaeogeodesy.org,,-10.531083,-75.931509,archaeogeodesy_peru.csv,
tarav,archaeogeodesy.org,,-15.296932,-69.978171,archaeogeodesy_peru.csv,
taraw,archaeogeodesy.org,,-13.469020,-72.436530,archaeogeodesy_peru.csv,
targ2,archaeogeodesy.org,,-19.870818,-69.465275,archaeogeodesy_peru.csv,
Tarmatambo,osm,https://www.openstreetmap.org/node/1728416162,-11.475055,-75.685015,osm_archeological_sites.geojson,tambo
Tarmatambo,wikidata,http://www.wikidata.org/entity/Q15949886,-11.476389,-75.686389,wikidata_archeological_sites.geojson,tambo
tarmc,archaeogeodesy.org,,-11.476125,-75.683856,archaeogeodesy_peru.csv,
Taukachi-Konkán,osm,https://www.openstreetmap.org/way/156243000,-9.457025,-78.251952,osm_archeological_sites.geojson,
taukh,archaeogeodesy.org,,-9.450817,-78.245107,archaeogeodesy_peru.csv,
tauli,archaeogeodesy.org,,-12.044956,-77.029900,archaeogeodesy_peru.csv,
Tayta Capilla,osm,https://www.openstreetmap.org/node/1728416757,-13.271944,-72.207222,osm_archeological_sites.geojson,
tcirc,archaeogeodesy.org,,-9.050622,-59.105406,archaeogeodesy_peru.csv,
tcolo,archaeogeodesy.org,,-13.705144,-75.829328,archaeogeodesy_peru.csv,
Tejahuasi,osm,https://www.openstreetmap.org/node/1728416760,-13.359444,-72.085556,osm_archeological_sites.geojson,
Tejahuay,osm,https://www.openstreetmap.org/node/1728416762,-8.861389,-78.175000,osm_archeological_sites.geojson,
Tella,osm,https://www.openstreetmap.org/way/588500027,-6.361556,-77.891633,osm_archeological_sites.geojson,
Tella,wikidata,http://www.wikidata.org/entity/Q30112545,-6.374054,-77.900318,wikidata_archeological_sites.geojson,
Tello - Tsuts An,osm,https://www.openstreetmap.org/way/630946942,-8.106455,-79.076729,osm_archeological_sites.geojson,
Temple of the Moon,wikidata,http://www.wikidata.org/entity/Q634026,-13.152200,-72.546900,wikidata_archeological_sites.geojson,temple
Temple of the Moon (Peru),Wikipedia,https://en.wikipedia.org/wiki/Temple_of_the_Moon_(Peru),-13.152161,-72.546940,wikipedia_peru_archaeological_sites.csv,temple
Temple Stone,osm,https://www.openstreetmap.org/node/8382488681,-15.292559,-74.540199,osm_archeological_sites.geojson,temple
Templo de la Luna,osm,https://www.openstreetmap.org/node/9285773301,-13.505803,-71.964723,osm_archeological_sites.geojson,temple
Templo de la Luna,osm,https://www.openstreetmap.org/way/363418345,-13.151749,-72.546603,osm_archeological_sites.geojson,temple
Templo de Omo,osm,https://www.openstreetmap.org/way/237305781,-17.243593,-70.977794,osm_archeological_sites.geojson,temple
Templo del Sol,osm,https://www.openstreetmap.org/node/2692704308,-12.262673,-76.901689,osm_archeological_sites.geojson,temple
Templo en U de Cardal,osm,https://www.openstreetmap.org/way/519187993,-12.186155,-76.848957,osm_archeological_sites.geojson,temple
