global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,composite_score_pre_modern_filter,modern_access_score,modern_penalty_factor,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,nearest_settlement_km,nearest_major_road_km,nearest_post_office_km,nearest_airport_km,nearest_port_km,nearest_settlement_name,lat_center,lon_center
75,18L VJ 71 80,18LVJ7180,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.315,0.4718,0.391,0.6677,0.1276,0.9347,0.1515,1.58,1.31,14.81,0.31,40.11,79.53,145.22,Palpa,-14.645,-75.261
76,18L VJ 70 79,18LVJ7079,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3141,0.4704,0.3908,0.6678,0.1172,0.9419,0.1582,2.59,1.16,16.18,0.01,40.46,78.71,145.12,Palpa,-14.654,-75.27
77,18L VJ 73 80,18LVJ7380,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3139,0.481,0.4086,0.6527,0.1362,0.9533,0.1457,0.65,0.93,13.84,0.06,38.45,79.23,146.7,Palpa,-14.645,-75.243
78,18L WJ 51 10,18LWJ5110,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3136,0.459,0.3727,0.6832,0.2162,0.7623,0.25,1.35,4.75,18.34,0.1,67.63,63.43,251.64,Acari,-15.284,-74.523
79,18L VJ 84 76,18LVJ8476,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3133,0.4603,0.3758,0.6806,0.3749,0.4132,0.398,0.58,10.61,16.99,0.3,27.39,74.42,157.51,Palpa,-14.681,-75.144
80,18L VJ 75 78,18LVJ7578,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3115,0.4677,0.3928,0.6661,0.1659,0.8476,0.177,0.63,3.05,15.0,0.22,35.76,76.99,149.47,Palpa,-14.663,-75.225
81,18L VJ 72 81,18LVJ7281,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3103,0.4625,0.3871,0.671,0.1213,0.9216,0.1306,0.71,1.57,13.44,0.77,39.81,80.36,145.32,Palpa,-14.636,-75.252
82,17M PN 38 48,17MPN3848,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.3097,0.5054,0.4555,0.6128,0.3732,0.9765,0.4135,0.97,0.47,9.16,1.14,9.24,84.84,150.27,Picsi,-6.797,-79.747
83,17L QL 47 73,17LQL4773,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.308,0.5089,0.4643,0.6053,0.4552,0.8079,0.5429,1.62,3.84,4.87,2.55,40.75,24.7,241.68,Viru,-8.372,-78.757
84,18L YL 62 43,18LYL6243,Highlands — Cusco / Inca Heartland,Tier 3 -- Low Priority,0.3057,0.5829,0.5594,0.5245,0.4522,0.8503,0.5466,1.73,2.99,5.84,0.41,5.72,52.16,89.0,Machupicchu,-13.166,-72.577
