global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,lat_center,lon_center
125,18L YL 62 42,18LYL6242,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5548,0.4193,0.832,0.4846,1.35,3.36,-13.175,-72.577
126,19L AF 77 01,19LAF7701,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5546,0.424,0.9152,0.4553,0.69,1.7,-13.535,-71.983
127,17M PN 44 17,17MPN4417,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5533,0.7546,0.4183,0.8319,0.93,10.46,-7.076,-79.693
128,18L WJ 05 57,18LWJ0557,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5529,0.6867,0.0364,0.791,1.32,39.77,-14.861,-74.946
129,18L YL 66 46,18LYL6646,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5527,0.3942,0.8737,0.4585,1.4,2.53,-13.139,-72.541
130,18L TM 74 67,18LTM7467,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5526,0.5284,0.7663,0.6028,1.23,4.67,-12.048,-77.073
131,17M PN 47 17,17MPN4717,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5523,0.7341,0.4535,0.8093,0.93,9.49,-7.076,-79.666
132,18L TM 75 62,18LTM7562,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5509,0.5605,0.6983,0.6396,1.24,6.03,-12.093,-77.064
133,18L YL 63 46,18LYL6346,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5491,0.3806,0.8482,0.515,2.61,3.04,-13.139,-72.568
134,18L YL 62 45,18LYL6245,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5487,0.3781,0.8396,0.5352,2.93,3.21,-13.148,-72.577
135,17L QL 48 74,17LQL4874,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5486,0.5061,0.8776,0.533,0.51,2.45,-8.363,-78.748
136,17L QL 47 73,17LQL4773,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5472,0.5148,0.8429,0.5693,0.96,3.14,-8.372,-78.748
137,18L WJ 10 55,18LWJ1055,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5446,0.6935,0.0241,0.7542,0.8,44.73,-14.879,-74.901
138,18L WJ 05 56,18LWJ0556,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5429,0.6859,0.0344,0.7279,0.58,40.45,-14.87,-74.946
